PB/L9/b-PB/L[6-8]/s
PB/L9|L1|R8/b-PB/LR[1-9]/s
PB/L7|R2/b-PB/LR[1-9]/s
PB/L6|R3/b-PB/LR[1-9]/s
PB/L5|R4/b-PB/LR[1-9]/s
PB/R5|L4/b-PB/LR[1-9]/s
PB/R6|L3/b-PB/LR[1-9]/s
PB/R7|L2/b-PB/LR[1-9]/s
PB/L8|R1|R9/b-PB/LR[1-9]/s
PB/R9/b-PB/R[6-8]/s
