EB/L8/s-LAL/RDG/b-PB/L9/b
EB/L8|R8/s-lal/LDG/b-PB/R1/b
EB/L6|L7/s-LAL/RVG/b-PB/L8/b
EB/L6|L7/s-lal/LVG/b-PB/R2/b
EB/L4|L5/s-LAL/RDG/b-PB/L7/b
EB/L4|L5/s-lal/LDG/b-PB/R3/b
EB/L2|L3/s-LAL/RVG/b-PB/L6/b
EB/L2|L3/s-lal/LVG/b-PB/R4/b
EB/L1|R1/s-LAL/RDG/b-PB/L5/b
EB/R1|L1/s-lal/LDG/b-PB/R5/b
EB/R2|R3/s-LAL/RVG/b-PB/L4/b
EB/R2|R3/s-lal/LVG/b-PB/R6/b
EB/R4|R5/s-LAL/RDG/b-PB/L3/b
EB/R4|R5/s-lal/LDG/b-PB/R7/b
EB/R6|R7/s-LAL/RVG/b-PB/L2/b
EB/R6|R7/s-lal/LVG/b-PB/R8/b
EB/R8|L8/s-LAL/RDG/b-PB/L1/b
EB/R8/s-lal/LDG/b-PB/R9/b
