PB/L1/s-FB/([1-4],L[3-4])/s-lal/LHB/b
PB/L1|R1/s-FB/([1-4],L[2-3])/s-lal/LHB/b
PB/R1/s-FB/([1-4],L[1-2])/s-lal/LHB/b
PB/R2/s-FB/([1-4],[L1,R1])/s-lal/LHB/b
PB/R3/s-FB/([1-4],R[1-2])/s-lal/LHB/b
PB/R4/s-FB/([1-4],R[2-3])/s-lal/LHB/b
PB/R5/s-FB/([1-4],R[3-4])/s-lal/LHB/b
PB/R6/s-FB/([1-4],R[3-4])/s-lal/LHB/b
PB/L6/s-FB/([1-4],L[3-4])/s-LAL/RHB/b
PB/L5/s-FB/([1-4],L[3-4])/s-LAL/RHB/b
PB/L4/s-FB/([1-4],L[2-3])/s-LAL/RHB/b
PB/L3/s-FB/([1-4],L[1-2])/s-LAL/RHB/b
PB/L2/s-FB/([1-4],[L1,R1])/s-LAL/RHB/b
PB/L1/s-FB/([1-4],R[1-2])/s-LAL/RHB/b
PB/L1|R1/s-FB/([1-4],R[2-3])/s-LAL/RHB/b
PB/R1/s-FB/([1-4],R[3-4])/s-LAL/RHB/b
