EB/[1-8]/bs-BU/R1/s
EB/[1-8]/bs-BU/R2/s
EB/[1-8]/bs-BU/R3/s
EB/[1-8]/bs-bu/L1/s
EB/[1-8]/bs-bu/L2/s
EB/[1-8]/bs-bu/L3/s
